event_id,metadata_status,evidence_file_status,file_integrity_status,source_link_status,scientific_assessment_status,credential_locked,contributor_verifier_separated
MCT-EVT-0001,metadata_validated,evidence_file_present,file_integrity_confirmed,source_link_recorded,not_reviewed,True,True
MCT-EVT-0002,metadata_validated,not_checked,not_checked,source_link_recorded,not_reviewed,True,True
MCT-EVT-0003,metadata_validated,not_checked,not_checked,source_link_recorded,not_reviewed,True,True
MCT-EVT-0004,metadata_validated,not_checked,not_checked,source_link_recorded,not_reviewed,True,True
MCT-EVT-0005,metadata_validated,not_checked,not_checked,source_link_recorded,not_reviewed,True,True
MCT-EVT-0006,metadata_validated,not_checked,not_checked,source_link_recorded,not_reviewed,True,True
